model:ResNet152
num_classes:21
num_epoch:300
learning_rate:0.001
im_width:256
im_height:256
iter_smooth:10
freeze: 4
Epoch [7/300], Iter [40/105], lr: 0.001000, Loss: 2.6448, top1: 10.0000
Epoch [7/300], Iter [50/105], lr: 0.001000, Loss: 2.5514, top1: 14.3750
Epoch [7/300], Iter [60/105], lr: 0.001000, Loss: 2.5539, top1: 13.7500
Epoch [7/300], Iter [70/105], lr: 0.001000, Loss: 2.4565, top1: 16.2500
Epoch [7/300], Iter [80/105], lr: 0.001000, Loss: 2.5487, top1: 16.8750
Epoch [7/300], Iter [90/105], lr: 0.001000, Loss: 2.5782, top1: 11.8750
Epoch [7/300], Iter [100/105], lr: 0.001000, Loss: 2.4830, top1: 10.0000
Epoch [7/300], Val_Loss: 2.4572, Val_top1: 14.1509, val_time: 0.0657
Epoch [8/300], Iter [10/105], lr: 0.001000, Loss: 2.4805, top1: 15.4167
Epoch [8/300], Iter [20/105], lr: 0.001000, Loss: 2.5589, top1: 13.1250
Epoch [8/300], Iter [30/105], lr: 0.001000, Loss: 2.4220, top1: 12.5000
Epoch [8/300], Iter [40/105], lr: 0.001000, Loss: 2.5004, top1: 13.7500
Epoch [8/300], Iter [50/105], lr: 0.001000, Loss: 2.4696, top1: 13.1250
Epoch [8/300], Iter [60/105], lr: 0.001000, Loss: 2.5379, top1: 11.2500
Epoch [8/300], Iter [70/105], lr: 0.001000, Loss: 2.5389, top1: 12.5000
Epoch [8/300], Iter [80/105], lr: 0.001000, Loss: 2.6179, top1: 9.3750
Epoch [8/300], Iter [90/105], lr: 0.001000, Loss: 2.5527, top1: 13.1250
Epoch [8/300], Iter [100/105], lr: 0.001000, Loss: 2.5243, top1: 11.2500
Epoch [8/300], Val_Loss: 2.3333, Val_top1: 17.9245, val_time: 0.0651
Epoch [9/300], Iter [10/105], lr: 0.001000, Loss: 2.5422, top1: 17.0833
Epoch [9/300], Iter [20/105], lr: 0.001000, Loss: 2.5485, top1: 16.8750
Epoch [9/300], Iter [30/105], lr: 0.001000, Loss: 2.5541, top1: 13.1250
Epoch [9/300], Iter [40/105], lr: 0.001000, Loss: 2.4933, top1: 19.3750
Epoch [9/300], Iter [50/105], lr: 0.001000, Loss: 2.4711, top1: 18.1250
Epoch [9/300], Iter [60/105], lr: 0.001000, Loss: 2.4853, top1: 10.6250
Epoch [9/300], Iter [70/105], lr: 0.001000, Loss: 2.4989, top1: 15.0000
Epoch [9/300], Iter [80/105], lr: 0.001000, Loss: 2.6609, top1: 11.2500
Epoch [9/300], Iter [90/105], lr: 0.001000, Loss: 2.5201, top1: 10.6250
Epoch [9/300], Iter [100/105], lr: 0.001000, Loss: 2.5004, top1: 9.3750
Epoch [9/300], Val_Loss: 2.3888, Val_top1: 15.3302, val_time: 0.0646
Epoch [10/300], Iter [10/105], lr: 0.001000, Loss: 2.5063, top1: 16.6667
Epoch [10/300], Iter [20/105], lr: 0.001000, Loss: 2.5976, top1: 10.0000
Epoch [10/300], Iter [30/105], lr: 0.001000, Loss: 2.5889, top1: 11.8750
Epoch [10/300], Iter [40/105], lr: 0.001000, Loss: 2.5606, top1: 16.2500
Epoch [10/300], Iter [50/105], lr: 0.001000, Loss: 2.4714, top1: 17.5000
Epoch [10/300], Iter [60/105], lr: 0.001000, Loss: 2.5007, top1: 14.3750
Epoch [10/300], Iter [70/105], lr: 0.001000, Loss: 2.5998, top1: 11.2500
Epoch [10/300], Iter [80/105], lr: 0.001000, Loss: 2.5000, top1: 13.1250
Epoch [10/300], Iter [90/105], lr: 0.001000, Loss: 2.4836, top1: 20.0000
Epoch [10/300], Iter [100/105], lr: 0.001000, Loss: 2.5088, top1: 10.0000
Epoch [10/300], Val_Loss: 2.3821, Val_top1: 16.5094, val_time: 0.0656
Epoch [11/300], Iter [10/105], lr: 0.000500, Loss: 2.4382, top1: 17.9167
Epoch [11/300], Iter [20/105], lr: 0.000500, Loss: 2.4569, top1: 16.8750
Epoch [11/300], Iter [30/105], lr: 0.000500, Loss: 2.4748, top1: 16.8750
Epoch [11/300], Iter [40/105], lr: 0.000500, Loss: 2.4375, top1: 13.7500
Epoch [11/300], Iter [50/105], lr: 0.000500, Loss: 2.4556, top1: 15.6250
Epoch [11/300], Iter [60/105], lr: 0.000500, Loss: 2.5894, top1: 18.7500
Epoch [11/300], Iter [70/105], lr: 0.000500, Loss: 2.5997, top1: 13.1250
Epoch [11/300], Iter [80/105], lr: 0.000500, Loss: 2.4355, top1: 16.8750
Epoch [11/300], Iter [90/105], lr: 0.000500, Loss: 2.4890, top1: 19.3750
Epoch [11/300], Iter [100/105], lr: 0.000500, Loss: 2.4322, top1: 13.1250
Epoch [11/300], Val_Loss: 2.3028, Val_top1: 19.1038, val_time: 0.0657
Epoch [12/300], Iter [10/105], lr: 0.000500, Loss: 2.4387, top1: 17.9167
Epoch [12/300], Iter [20/105], lr: 0.000500, Loss: 2.5252, top1: 15.6250
Epoch [12/300], Iter [30/105], lr: 0.000500, Loss: 2.5328, top1: 17.5000
Epoch [12/300], Iter [40/105], lr: 0.000500, Loss: 2.6336, top1: 14.3750
